mp3tagArtist;mp3tagGenre;mainArtist;mainId;downloaded
#####;Metal;#####;590327453;2026-04-24 10:53:20
3 Doors Down;Alternative;3 Doors Down;101604;2026-04-24 10:53:26
3 Inches of Blood;Heavy Metal;3 Inches of Blood;26515293;2026-04-24 10:53:31
36 Crazyfists;Metalcore;36 Crazyfists;6338556;2026-04-24 10:53:37
3rd Strike;Nu Metal;3rd Strike;3299291;2026-04-24 10:53:42
5'nizza;Acoustic;5'nizza;251582975;2026-04-24 10:53:48
50 Cent;Rap;50 Cent;112058;2026-04-24 10:53:56
6ix9ine;Rap;6ix9ine;1258256228;2026-04-24 10:54:02
7000$;Alternative;7000$;331647880;2026-04-24 10:54:08
7раса;Alternative;;0;
96 Bitter Beings;Alternative;96 Bitter Beings;1444860850;2026-04-24 10:54:13
АК-47;Rap;АК-47;590332748;2026-04-24 10:54:19
АК-47;Rap;АК-47;501951774;2026-04-24 10:54:25
Александр Розенбаум;Acoustic;;0;
Ария;Heavy Metal;Ария;646139967;2026-04-24 10:54:31
Банд'Эрос;Pop;;0;
Баста;Rap;Баста;1372953342;2026-04-24 10:54:38
Бес;Black Metal;Бес;1526891030;2026-04-24 10:54:44
Беzумные усилия;Groove Metal;Беzумные усилия;1406384230;2026-04-24 10:54:49
Браво;Rock & Roll;;0;
Виктор Зинчук;Modern Classical;;0;
Город Дит;Heavy Metal;;0;
Грай;Folk Metal;Грай;569705781;2026-04-24 10:54:54
Ёлка;Pop;Ёлка;284266767;2026-04-24 10:55:03
Ирма Сохадзе;Pop;;0;
Карандаш;Hip-Hop;Карандаш;352344842;2026-04-24 10:55:09
Каста;Hip-Hop;Каста;340420197;2026-04-24 10:55:14
Кипелов;Heavy Metal;Кипелов;334602356;2026-04-24 10:55:20
Король и шут;Punk Rock;;0;
Коррозия металла;Thrash Metal;;0;
Крематорий;Rock;;0;
Лешак;Folk Metal;Лешак;355823121;2026-04-24 10:55:25
Ноггано;Hip-Hop;Ноггано;446310531;2026-04-24 10:55:31
Психея;Alternative;Психея;626901659;2026-04-24 10:55:36
Район моей мечты;Rap;;0;
Рекорд оркестр;Rock;Рекорд Оркестр;720831518;2026-04-24 10:55:42
Руки Вверх!;Pop;;0;
Сектор газа;Punk Rock;Сектор Газа;531116017;2026-04-24 10:55:47
Сергей Маврин;Heavy Metal;Сергей Маврин;334652535;2026-04-24 10:55:53
Слот;Alternative;Слот;160957018;2026-04-24 10:55:58
Эпидемия;Power Metal;Эпидемия;424022271;2026-04-24 10:56:04
A Killer's Confession;Alternative;A Killer's Confession;1169161746;2026-04-24 10:56:10
A Perfect Circle;Alternative;A Perfect Circle;652503;2026-04-24 10:56:15
Aaron Lewis;Country;Aaron Lewis;413422387;2026-04-24 10:56:20
Abbath;Black Metal;Abbath;200771326;2026-04-24 10:56:26
Aborted;Death Metal;Aborted;155833533;2026-04-24 10:56:31
AC/DC;Hard Rock;ACDC;5040714;2026-04-24 10:56:37
Act of Defiance;Thrash Metal;Act of Defiance;1007586421;2026-04-24 10:56:42
Ad Infinitum;Symphonic Metal;Ad Infinitum;1484967403;2026-04-24 10:56:47
Adam Skorupa;Score;;0;
Adema;Nu Metal;Adema;459504;2026-04-24 10:56:53
Adrenaline Mob;Heavy Metal;Adrenaline Mob;454991210;2026-04-24 10:56:58
Aerosmith;Hard Rock;Aerosmith;115386;2026-04-24 10:57:04
